Comment,Designator,Footprint,LCSC Part #
2450AT18B100E,ANT1,0402,C89965
12pF,"C1,C10,C11,C2",0402,C30379
100nF,"C14,C15,C19,C39,C4,C5,C6",0402,C14663
4.7uF,"C16,C17,C20,C42,C8,C_DECUSB",0402,C23733
1uF,"C21,C32,C38,C9",0402,C15849
0.1uF,"C22,C23,C34,C43",0402,C14663
10uF,"C24,C37",0402,C15712
22uF,"C25,C33",0603,C59461
1uF/50V,"C27,C29,C31",0402,C15849
0.1uF/50V,C30,0402,C14663
100pF,C7,0402,C14858
MBR0530,"D2,D4,D5",SOD-123,C242214
USBLC6-2SC6Y,D3,SOT-363,C7519
BQ25180YBGR,IC1,DSBGA-8 (1.01x1.55mm),C2681936
DRV2605YZFR,IC2,DSBGA-12 (1.44x1.44mm),C2682232
BMA421,IC3,LGA-12 (2x2mm),C5242966
RT6160AWSC,IC9,WLCSP-15 (1.4x2.3mm),C7065276
KH-TYPE-C-16P,J4,USB-C 16P mid-mount,C165948
3.9nH,L1,0402,C95912
15nH,L2,0402,C95918
10uH,L3,0402,C408494
68uH,L5,0402,C132330
470mOhm,L7,0402,C84625
DMG2305UX-7,Q3,SOT-523,C145065
SI1308EDL-T1-GE3,Q_EPD_N,SOT-523,C145065
3.3k,"R17,R18",0402,C25890
10k,"R1_EP_DR,R2_EP_DR,R5,R7,R8,R9,R_PWR_EPD",0402,C25744
5.1k,"R1_USB,R2_USB",0402,C25905
0,"R2,R3,R4",0402,C17168
2.2,R_TYPE_SEL,0402,C25879
SW_PUSH,"SW_DN,SW_ENT,SW_UP",SMD-SW 3x4x2mm,C318884
nRF52840-QIAA-R,U1,QFN-73 (7x7mm),C190794
MAX17048G+T10,U3,DFN8_2x2,C2682616
32MHz,X1,SMD3215 2-pin,C9001582
32.768kHz,X2,SMD3215 2-pin,C32346
