Designator,Val,Package,Mid X(mm),Mid Y(mm),Rotation,Layer
ANT1,2450AT18B100E_2450AT18B100E,0402,39.60,25.50,0.0,Top
C1,1pF,0201,27.70,13.10,0.0,Top
C1-EP-DR,10uF,0402,13.90,15.30,0.0,Top
C1-EP-DR1,4.7uF/25V,0402,14.70,30.00,0.0,Top
C10,N.C.,0201,41.40,21.10,270.0,Top
C11,100pF,0201,29.60,25.30,0.0,Top
C12,100nF,0201,40.90,1.50,270.0,Top
C13,N.C.,0201,37.70,1.40,322.1,Top
C14,4.7uF,0402,29.70,23.90,0.0,Top
C15,1.0uF,0402,29.70,22.40,0.0,Top
C16,47nF,0201,20.60,21.30,0.0,Top
C17,12pF,0201,16.80,14.10,0.0,Top
C18,12pF,0201,17.90,13.20,0.0,Top
C19,100nF,0201,25.60,13.10,0.0,Top
C2,0.1uF,0402,27.50,8.00,0.0,Top
C20,4.7uF,0402,29.70,21.20,0.0,Top
C21,4.7uF,0402,33.00,20.40,0.0,Top
C22,N.C.,0201,29.60,19.00,0.0,Top
C23,0.1uF,0402,15.80,8.90,0.0,Top
C24,10uF,0402,18.20,8.90,0.0,Top
C25,22uF,0402,20.70,8.90,0.0,Top
C26,0.1uF,0402,38.20,9.70,0.0,Top
C27,1uF,0402,11.40,5.70,0.0,Top
C28,1uF,0402,34.90,7.10,0.0,Top
C29,1uF,0402,24.20,7.00,0.0,Top
C3,1pF,0201,33.60,23.90,0.0,Top
C30,4.7uF,0402,25.20,33.10,90.0,Top
C31,0.1uF,0402,30.10,34.00,0.0,Top
C32,1uF/50V,0402,9.60,14.60,0.0,Top
C33,22uF,0402,13.50,7.10,180.0,Top
C34,1uF/50V,0402,13.90,14.10,180.0,Top
C35,1uF/50V,0402,13.90,12.90,180.0,Top
C36,1uF/50V,0402,9.70,13.40,0.0,Top
C37,1uF,0402,33.50,15.80,0.0,Top
C38,1uF,0402,33.50,17.10,0.0,Top
C39,10uF,0402,32.40,18.60,0.0,Top
C4,1uF,0402,32.40,12.00,0.0,Top
C40,1uF/50V,0402,13.70,11.30,0.0,Top
C41,1uF/50V,0402,9.70,11.90,0.0,Top
C42,1uF/50V,0402,10.80,10.10,0.0,Top
C43,1uF/50V,0402,13.20,21.10,90.0,Top
C44,1uF/50V,0402,10.40,21.10,90.0,Top
C5,100nF,0201,20.40,25.40,0.0,Top
C6,4.7uF,0402,20.30,24.10,0.0,Top
C7,100nF,0201,20.60,22.70,0.0,Top
C8,100nF,0201,20.60,22.00,0.0,Top
C9,820pF,0201,37.70,20.70,0.0,Top
D1,ESP32_C6_LIBRARY_5_MBR0530,SOD-123,10.40,8.60,0.0,Top
D2,ESP32_C6_LIBRARY_5_MBR0530,SOD-123,13.10,28.00,271.0,Top
D3,ESP32_C6_LIBRARY_5_MBR0530,SOD-123,6.70,29.90,0.0,Top
D4,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,SOT-363,22.10,33.20,0.0,Top
IC1,BMA423_BMA423,LGA-12,26.10,11.40,0.0,Top
IC2,RT6160AWSC_RT6160AWSC,WLCSP-15,16.50,10.90,90.0,Top
IC3,BQ25180YBGR_BQ25180YBGR,DSBGA-8,31.50,16.30,0.0,Top
IC4,DRV2605YZFR_DRV2605YZFR,DSBGA-12,29.60,10.80,0.0,Top
J1,503480-2400_503480-2400,FPC-24,10.30,17.50,270.0,Top
J3,TC2030-IDC_TC2030-IDC,TC2030,5.40,5.80,0.0,Top
J4,KH-TYPE-C-16P_KH-TYPE-C-16P,USB-C-16P,23.00,33.20,180.0,Top
L1,MLP2016SR47MT0S1_FTC252012SR47MBCA,0402,21.10,13.10,270.0,Top
L2,10uH,0402,35.80,25.90,0.0,Top
L3,10uH,0402,38.10,23.30,0.0,Top
L5,68uH,0201,9.60,28.30,180.0,Top
Q1,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,SOT-523,12.00,29.10,90.0,Top
Q2,20V/4.2A/52mohm/1.4W,SOT23-3,15.70,25.50,90.0,Top
R1,0,0201,25.90,9.50,0.0,Top
R10,10K,0201,18.80,20.50,180.0,Top
R11,10K,0201,18.80,21.60,0.0,Top
R12,10K,0201,18.00,21.60,0.0,Top
R13,10K,0201,16.90,12.90,0.0,Top
R14,10K,0201,15.60,12.20,0.0,Top
R16,10K,0201,17.80,23.70,180.0,Top
R2,0,0201,24.40,10.90,0.0,Top
R3,0,0201,24.40,12.80,0.0,Top
R4,3K3,0201,42.20,12.10,270.0,Top
R5,3K3,0201,42.30,8.50,198.5,Top
R6,0.47,0201,16.20,27.60,270.0,Top
R7,2.2,0201,38.30,4.30,180.0,Top
R8,10K,0201,15.70,3.80,180.0,Top
R9,10K,0201,31.50,14.90,270.0,Top
SJ1,0,SJ,15.60,33.20,270.0,Top
SW1,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,SW-SMD-3x4,12.00,2.90,180.0,Top
SW2,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,SW-SMD-3x4,34.00,3.00,180.0,Top
SW3,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,SW-SMD-3x4,23.00,2.85,180.0,Top
U$1,NORDIC_NRF_4_NRF52840_QF,QFN-73,25.00,23.20,0.0,Top
U$2,3.9nH,0402,26.80,17.90,0.0,Top
U$3,1uF/50V,0201,8.60,19.70,270.0,Top
U$4,12pF,0201,28.40,17.90,0.0,Top
U$5,12pF,0201,29.60,17.90,0.0,Top
U1,ESP32_C6_LIBRARY_MAX17048G+T10,DFN8-2x2,36.70,11.80,0.0,Top
X1,32MHz,SMD3215,20.20,18.30,0.0,Top
X2,32.768kHz,SMD3215,23.80,18.40,0.0,Top
